n	Libellé	harvest_year	sowing_date	cultivar	Code_postal	Longitude	Latitude	Altitude	Type_de_sol_panoramix	Code_sol_de_la_base	Nom_Arvalis	Regime_hydrique	N_Horizons	Epaisseur_H1	Hcc_H1	H_pFp_H1	Da_terre_fine_H1	RU_par_horizon_H1	Argile_H1	Limon_fin_H1	Limon_grossier_H1	Sable_fin_H1	Sable_grossier_H1	Argile_Sans_CaCO3_H1	Limon_fin_Sans_CaCO3_H1	Limon_grossier_Sans_CaCO3_H1	Sable_fin_Sans_CaCO3_H1	Sable_grossier_Sans_CaCO3_H1	CaCO3__total_H1	Matiere_Organique_H1	Cailloux_H1	Cailloux_Dimension_H1	pH_eau_H1	Epaisseur_H2	Hcc_H2	H_pFp_H2	Da_terre_fine_H2	RU_par_horizon_H2	Argile_H2	Limon_fin_H2	Limon_grossier_H2	Sable_fin_H2	Sable_grossier_H2	Argile_Sans_CaCO3_H2	Limon_fin_Sans_CaCO3_H2	Limon_grossier_Sans_CaCO3_H2	Sable_fin_Sans_CaCO3_H2	Sable_grossier_Sans_CaCO3_H2	CaCO3__total_H2	Matiere_Organique_H2	Cailloux_H2	Cailloux_Dimension_H2	pH_eau_H2	Epaisseur_H3	Hcc_H3	H_pFp_H3	Da_terre_fine_H3	RU_par_horizon_H3	Argile_H3	Limon_fin_H3	Limon_grossier_H3	Sable_fin_H3	Sable_grossier_H3	Argile_Sans_CaCO3_H3	Limon_fin_Sans_CaCO3_H3	Limon_grossier_Sans_CaCO3_H3	Sable_fin_Sans_CaCO3_H3	Sable_grossier_Sans_CaCO3_H3	CaCO3__total_H3	Matiere_Organique_H3	Cailloux_H3	Cailloux_Dimension_H3	pH_eau_H3	Epaisseur_H4	Hcc_H4	H_pFp_H4	Da_terre_fine_H4	RU_par_horizon_H4	Argile_H4	Limon_fin_H4	Limon_grossier_H4	Sable_fin_H4	Sable_grossier_H4	Argile_Sans_CaCO3_H4	Limon_fin_Sans_CaCO3_H4	Limon_grossier_Sans_CaCO3_H4	Sable_fin_Sans_CaCO3_H4	Sable_grossier_Sans_CaCO3_H4	CaCO3__total_H4	Matiere_Organique_H4	Cailloux_H4	Cailloux_Dimension_H4	pH_eau_H4	Etat_initial_réserve	Réserve_utile	Station_locale	Station_historique	Protocole	Essai	Espèce	Densité_Semis	Nombre_Fertilisation_azotée	Dose_totale_Fertilisation_azotée	Date_1_Fertilisation_azotée	Dose_1_Fertilisation_azotée	Produit_1_Fertilisation_azotée	Date_2_Fertilisation_azotée	Dose_2_Fertilisation_azotée	Produit_2_Fertilisation_azotée	Date_3_Fertilisation_azotée	Dose_3_Fertilisation_azotée	Produit_3_Fertilisation_azotée	Date_4_Fertilisation_azotée	Dose_4_Fertilisation_azotée	Produit_4_Fertilisation_azotée	Date_5_Fertilisation_azotée	Dose_5_Fertilisation_azotée	Produit_5_Fertilisation_azotée	Nombre_Irrigation	Dose_totale_Irrigation	Date_1_Irrigation	Dose_1_Irrigation	Date_2_Irrigation	Dose_2_Irrigation	Date_3_Irrigation	Dose_3_Irrigation	Date_4_Irrigation	Dose_4_Irrigation	Teneur_Azote_Grain_Qualité	Biomasse_paille	Teneur_Azote_Paille_Qualité	Grain_sur_Paille_Qualité						
52	BIGNAN	2011	28/10/2010	Bermude	56500.111	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	216	5695	5683	17IVB	119434	Soft_winter_wheat	230	3	149	03/03/2011	39	Ammonitrate	25/03/2011	80	Ammonitrate	28/04/2011	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
57	BIGNAN	2014	21/10/2013	Apache	56500.114	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	216	5695	5695	17TPDS	126443	Soft_winter_wheat	240	4	190	20/02/2014	40	Ammonitrate	07/03/2014	40	Ammonitrate	21/03/2014	80	Ammonitrate	09/05/2014	30	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
58	BIGNAN	2014	21/10/2013	Bermude	56500.114	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	216	5695	5695	17TPDS	126443	Soft_winter_wheat	240	4	190	20/02/2014	40	Ammonitrate	07/03/2014	40	Ammonitrate	21/03/2014	80	Ammonitrate	09/05/2014	30	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
59	BIGNAN	2015	27/10/2014	Apache	56500.115	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	216	5695	5683	17TPMOD	128534	Soft_winter_wheat	260	4	209.2	24/02/2015	30	Ammonitrate	13/03/2015	58.5	Ammonitrate	27/03/2015	54.8	Ammonitrate	30/04/2015	65.9	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
60	BIGNAN	2015	27/10/2014	Bermude	56500.115	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	216	5695	5683	17TPMOD	128534	Soft_winter_wheat	260	4	209.2	24/02/2015	30	Ammonitrate	13/03/2015	58.5	Ammonitrate	27/03/2015	54.8	Ammonitrate	30/04/2015	65.9	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
65	BOIGNEVILLE	2014	21/10/2013	Apache	91720.114	2.380556	48.325278	109	Argile	IF5033001	Sol_limono-argileux_à_argilo-limoneux_calcaire_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	30	25.75441	14.60007	1.333	43.79877696	30.9	30	28.1	2.75	5.25	0	0	0	0	0	8.4	3	4	graviers_(<2cm)	8.3	40	23.5777	15.58152	1.569	50.184044	36	29	26	4.3	3.8	0	0	0	0	0	32	0.9	0	-	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	120	9151	9151	17TPMOD	126424	Soft_winter_wheat	260	3	190	17/02/2014	40	Ammonitrate	20/03/2014	100	Ammonitrate	06/05/2014	50	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
66	BOIGNEVILLE	2014	21/10/2013	Bermude	91720.114	2.380556	48.325278	109	Argile	IF5033001	Sol_limono-argileux_à_argilo-limoneux_calcaire_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	30	25.75441	14.60007	1.333	43.79877696	30.9	30	28.1	2.75	5.25	0	0	0	0	0	8.4	3	4	graviers_(<2cm)	8.3	40	23.5777	15.58152	1.569	50.184044	36	29	26	4.3	3.8	0	0	0	0	0	32	0.9	0	-	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	120	9151	9151	17TPMOD	126424	Soft_winter_wheat	260	3	190	17/02/2014	40	Ammonitrate	20/03/2014	100	Ammonitrate	06/05/2014	50	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
67	BOIGNEVILLE	2015	23/10/2014	Apache	91720.115	2.380556	48.325278	109	Argile	IF5033001	Sol_limono-argileux_à_argilo-limoneux_calcaire_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	30	25.75441	14.60007	1.333	43.79877696	30.9	30	28.1	2.75	5.25	0	0	0	0	0	8.4	3	4	graviers_(<2cm)	8.3	40	23.5777	15.58152	1.569	50.184044	36	29	26	4.3	3.8	0	0	0	0	0	32	0.9	0	-	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	150	9151	9151	17TPMOD	128547	Soft_winter_wheat	280	3	190	19/02/2015	40	Ammonitrate	01/04/2015	90	Ammonitrate	06/05/2015	60	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
68	BOIGNEVILLE	2015	23/10/2014	Bermude	91720.115	2.380556	48.325278	109	Argile	IF5033001	Sol_limono-argileux_à_argilo-limoneux_calcaire_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	30	25.75441	14.60007	1.333	43.79877696	30.9	30	28.1	2.75	5.25	0	0	0	0	0	8.4	3	4	graviers_(<2cm)	8.3	40	23.5777	15.58152	1.569	50.184044	36	29	26	4.3	3.8	0	0	0	0	0	32	0.9	0	-	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	150	9151	9151	17TPMOD	128547	Soft_winter_wheat	280	3	190	19/02/2015	40	Ammonitrate	01/04/2015	90	Ammonitrate	06/05/2015	60	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
69	BOIGNEVILLE	2016	21/10/2015	Apache	91720.116	2.380556	48.325278	109	Argile	IF5033001	Sol_limono-argileux_à_argilo-limoneux_calcaire_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	30	25.75441	14.60007	1.333	43.79877696	30.9	30	28.1	2.75	5.25	0	0	0	0	0	8.4	3	4	graviers_(<2cm)	8.3	40	23.5777	15.58152	1.569	50.184044	36	29	26	4.3	3.8	0	0	0	0	0	32	0.9	0	-	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	103	9151	9151	17TPMOD	131778	Soft_winter_wheat	280	3	168	25/02/2016	48	Ammonitrate	22/03/2016	90	Ammonitrate	09/05/2016	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
70	BOIGNEVILLE	2016	21/10/2015	Bermude	91720.116	2.380556	48.325278	109	Argile	IF5033001	Sol_limono-argileux_à_argilo-limoneux_calcaire_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	30	25.75441	14.60007	1.333	43.79877696	30.9	30	28.1	2.75	5.25	0	0	0	0	0	8.4	3	4	graviers_(<2cm)	8.3	40	23.5777	15.58152	1.569	50.184044	36	29	26	4.3	3.8	0	0	0	0	0	32	0.9	0	-	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	103	9151	9151	17TPMOD	131778	Soft_winter_wheat	280	3	168	25/02/2016	48	Ammonitrate	22/03/2016	90	Ammonitrate	09/05/2016	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
